experiment_id,scenario_id,duration,total_drones,hostile_drones,radar_detections,audio_detections,false_alarms,engage_commands,intercept_attempts,intercept_successes,intercept_failures,success_rate,avg_detection_delay,avg_engagement_delay
gen_12345,gen_12345,0,15,15,395,0,0,4,0,2,2,0,1.9266666666666667,34.000000000000234
gen_12346,gen_12346,0,6,6,187,0,2,18,0,6,12,0,1.2,23.00000000000013
gen_12347,gen_12347,0,10,10,710,0,1,2,0,2,0,0,0.7,22.400000000000155
gen_12348,gen_12348,0,2,2,144,0,0,6,0,1,2,0,0.6,30.900000000000176
gen_12349,gen_12349,0,15,15,1068,0,1,9,0,4,3,0,0.6,19.800000000000118
gen_12350,gen_12350,0,4,4,90,0,0,8,0,2,3,0,2.0000000000000004,20.266666666666772
gen_12351,gen_12351,0,8,8,463,0,0,3,0,1,2,0,0.9,18.00000000000011
gen_12352,gen_12352,0,15,15,1096,0,1,2,0,0,2,0,0.7933333333333333,39.900000000000304
gen_12353,gen_12353,0,11,11,743,0,4,9,0,4,3,0,0.6,23.520000000000152
gen_12354,gen_12354,0,5,5,338,0,3,6,0,2,2,0,0.6,24.600000000000165
gen_12355,gen_12355,0,11,11,305,0,0,4,0,2,2,0,1.8545454545454552,34.56666666666691
gen_12356,gen_12356,0,2,2,71,0,2,4,0,1,1,0,1.0999999999999999,30.800000000000182
gen_12357,gen_12357,0,5,5,298,0,4,13,0,3,9,0,0.6,26.640000000000164
gen_12358,gen_12358,0,1,1,7,0,0,1,0,1,0,0,6.399999999999993,1.5999999999999943
gen_12359,gen_12359,0,8,8,325,0,0,7,0,2,4,0,1.0999999999999999,32.450000000000244
gen_12360,gen_12360,0,4,4,101,0,1,6,0,3,3,0,1.4000000000000001,20.06666666666678
gen_12361,gen_12361,0,13,13,613,0,0,2,0,1,1,0,1.1538461538461537,12.000000000000028
gen_12362,gen_12362,0,10,10,487,0,2,3,0,1,2,0,1.1,19.00000000000003
gen_12363,gen_12363,0,7,7,348,0,0,7,0,4,3,0,0.7999999999999999,24.400000000000137
gen_12364,gen_12364,0,6,6,190,0,0,11,0,3,5,0,1.0999999999999999,20.68000000000011
gen_12365,gen_12365,0,13,13,785,0,0,12,0,2,9,0,0.7538461538461537,17.080000000000076
gen_12366,gen_12366,0,10,10,520,0,2,10,0,4,3,0,0.7999999999999999,29.066666666666865
gen_12367,gen_12367,0,3,3,173,0,1,6,0,2,4,0,0.7999999999999999,19.500000000000057
gen_12368,gen_12368,0,13,13,1007,0,3,9,0,2,6,0,0.6,28.60000000000021
gen_12369,gen_12369,0,13,13,946,0,0,18,0,4,10,0,0.6923076923076923,26.76000000000022
gen_12370,gen_12370,0,12,12,609,0,0,3,0,1,1,0,0.8999999999999999,29.700000000000166
gen_12371,gen_12371,0,8,8,373,0,3,6,0,2,2,0,0.8999999999999999,23.400000000000148
gen_12372,gen_12372,0,11,11,678,0,1,11,0,3,5,0,0.7636363636363637,33.18000000000025
gen_12373,gen_12373,0,8,8,224,0,1,9,0,4,5,0,1.4000000000000001,15.050000000000058
gen_12374,gen_12374,0,6,6,278,0,1,5,0,2,3,0,0.8999999999999999,29.25000000000016
